"OrphaCode"|"AverageAgeOfOnset"|"AverageAgeOfDeath"|"InheritanceTypes"
2408|"Antenatal, Neonatal"|"No data available"|""
2409|"Infancy, Neonatal"|"No data available"|"Autosomal dominant"
2405|"All ages"|"No data available"|"Autosomal dominant"
2407|"Infancy, Neonatal"|""|"Autosomal recessive"
2412|"Infancy, Neonatal"|"No data available"|""
2575|"Infancy"|"No data available"|"Autosomal recessive"
2410|"Adolescent"|"No data available"|"Autosomal recessive"
2399|"Neonatal"|"No data available"|"Autosomal dominant"
2400|"Childhood"|"normal life expectancy"|"Unknown"
2396|"Antenatal, Neonatal"|"any age"|"Not applicable"
2388|"Adult"|""|"Autosomal recessive"
248111|"Adolescent, Childhood"|""|"Autosomal dominant"
2387|"Neonatal"|"normal life expectancy"|""
2386|"Childhood"|"No data available"|"Autosomal recessive"
248095|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal recessive"
2379|"Infancy"|""|"X-linked recessive"
2391|"Infancy, Neonatal"|"No data available"|"Autosomal dominant"
2390|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
247834|"All ages"|""|"Autosomal dominant"
2371|"Neonatal"|"infantile"|"Autosomal recessive"
2369|"Infancy, Neonatal"|"early childhood"|"Not applicable"
247820|"Infancy, Neonatal"|""|"Autosomal recessive"
247827|"Infancy, Neonatal"|""|"Autosomal recessive"
2378|"Antenatal, Neonatal"|"normal life expectancy"|"Autosomal dominant"
247868|"Infancy, Neonatal"|""|"Autosomal dominant"
2375|"Childhood"|""|"X-linked recessive"
2457|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal recessive"
2451|"All ages"|"normal life expectancy"|"Autosomal dominant"
2439|"Antenatal, Neonatal"|"normal life expectancy"|"Autosomal dominant"
244305|"Adult"|"No data available"|"Autosomal dominant"
244283|"Infancy, Neonatal"|""|"Multigenic/multifactorial"
2440|"Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive, X-linked recessive"
244310|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
244242|"Adult"|""|"Multigenic/multifactorial"
296|"Adolescent, Adult, Childhood"|""|"Not applicable"
2437|"Infancy, Neonatal"|"any age"|"Autosomal dominant"
244275|"All ages"|"any age"|""
2438|"Antenatal, Neonatal"|"normal life expectancy"|"Autosomal dominant"
243343|"Childhood"|"No data available"|"Autosomal recessive"
243367|"Adult"|""|"Multigenic/multifactorial"
2435|"Infancy, Neonatal"|"No data available"|"Unknown"
2429|"Childhood"|"No data available"|"Autosomal recessive"
2432|"Antenatal, Neonatal"|"infantile"|""
2489|"Infancy, Neonatal"|"No data available"|""
247353|"Adult"|""|"Autosomal recessive, Not applicable"
247262|"Infancy, Neonatal"|""|"Autosomal recessive"
2487|"Neonatal"|"infantile"|""
247257|"All ages"|""|"Not applicable"
247245|"All ages"|""|"Not applicable"
2485|"All ages"|"normal life expectancy"|"Not applicable"
247239|"Adult"|""|"Not applicable"
247234|"Adult, Elderly"|"adult, elderly"|"Not applicable"
2483|"Childhood"|"any age"|""
247203|"Adult"|""|"Not applicable"
2484|"Childhood"|""|"X-linked dominant"
247198|"Infancy, Neonatal"|""|"Autosomal recessive"
2481|"Childhood"|"adolescent, late childhood"|"Not applicable"
2482|"Neonatal"|"No data available"|""
247165|"Infancy"|""|"Not applicable"
2477|"Antenatal, Neonatal"|""|""
2479|"Childhood, Infancy, Neonatal"|""|""
2475|"Infancy, Neonatal"|"No data available"|""
2476|"Antenatal"|"No data available"|""
2473|"Neonatal"|""|"Autosomal recessive"
2471|"Infancy, Neonatal"|"No data available"|""
2470|"Antenatal, Neonatal"|"early childhood, infantile, stillbirth"|"Autosomal dominant, Autosomal recessive"
561|"Infancy, Neonatal"|""|"Autosomal dominant"
2464|"Adult, Childhood"|"No data available"|""
559|"Childhood, Infancy"|""|"Autosomal recessive"
2463|"Childhood, Infancy"|"No data available"|"Autosomal recessive"
2462|"Infancy, Neonatal"|"No data available"|"Autosomal dominant, Multigenic/multifactorial, Not applicable"
2461|"Infancy, Neonatal"|"adolescent, late childhood"|"Autosomal recessive"
251630|"Adult"|""|"Not applicable"
2172|"Neonatal"|"No data available"|"Autosomal recessive"
251636|"All ages"|""|"Not applicable"
251639|"Adult"|""|""
2176|"Infancy, Neonatal"|"infantile"|"Autosomal recessive"
251643|"Adolescent, All ages, Childhood"|""|"Not applicable"
251646|"Adolescent, Adult, Childhood"|""|"Not applicable"
2181|"Infancy"|"No data available"|"Autosomal recessive"
2180|"Neonatal"|"No data available"|"Unknown"
251663|"Adult"|"adult"|"Not applicable"
2186|"No data available"|"No data available"|"Unknown"
251671|"All ages"|"normal life expectancy"|""
2189|"Antenatal, Neonatal"|"early childhood"|"Autosomal recessive"
251674|"Adult"|"adult"|""
251679|"Adolescent, Adult, Childhood, Infancy"|""|"Not applicable"
312|"Neonatal"|""|"Autosomal dominant"
2196|"Childhood"|"normal life expectancy"|"Autosomal recessive"
251576|"Adult"|""|"Not applicable"
2150|"Neonatal"|""|""
251582|"Adult"|""|"Not applicable"
251579|"Adult"|""|"Not applicable"
2152|"Antenatal, Neonatal"|""|"Autosomal dominant"
2153|"Neonatal"|""|"Autosomal recessive"
251589|"Adult"|""|"Not applicable"
251598|"Childhood"|""|"Not applicable"
2155|"Neonatal"|"early childhood"|"Autosomal recessive"
2158|"Childhood, Infancy"|"No data available"|""
251612|"All ages"|""|"Not applicable"
2163|"Antenatal, Neonatal"|"any age"|""
251607|"All ages"|""|"Not applicable"
2165|"Antenatal, Neonatal"|"any age"|""
251615|"All ages"|""|"Not applicable"
2166|"Antenatal, Neonatal"|""|"Autosomal recessive"
251627|"All ages"|""|"Not applicable"
2167|"Antenatal, Neonatal"|"infantile"|""
251623|"Adult"|""|"Not applicable"
2169|"Childhood"|""|"Autosomal recessive"
251931|"Adult"|""|"Not applicable"
2222|"Childhood"|"normal life expectancy"|"Autosomal dominant"
2220|"Childhood"|""|"Autosomal dominant"
1051|"Infancy, Neonatal"|"No data available"|"Autosomal dominant"
251940|"Infancy, Neonatal"|""|"Not applicable"
251946|"All ages"|""|"Not applicable"
2228|"Childhood"|"normal life expectancy"|"Autosomal dominant"
2224|""|""|"Autosomal recessive"
2232|"Neonatal"|""|"Autosomal recessive"
2230|"Childhood"|""|"Autosomal dominant"
2229|"Infancy, Neonatal"|""|"Autosomal recessive"
2238|"All ages"|""|"Autosomal dominant, Autosomal recessive, X-linked recessive"
2237|"All ages"|"any age"|"Autosomal dominant"
2235|"No data available"|"No data available"|"Unknown"
2234|"Neonatal"|"No data available"|"Unknown"
251867|"Childhood"|""|""
2199|"Infancy, Neonatal"|""|""
251863|"Adult"|""|"Not applicable"
2200|"Childhood"|"normal life expectancy"|""
2198|"Adolescent, Adult"|"any age"|"Autosomal dominant"
251858|"Childhood, Infancy"|"normal life expectancy"|"Not applicable"
495|"Childhood"|""|""
251855|"Infancy, Neonatal"|"early childhood"|""
251883|"Childhood, Infancy"|""|"Not applicable"
2206|"Adult"|"any age"|"Autosomal dominant"
251880|"Infancy, Neonatal"|""|"Not applicable"
2201|"All ages"|"No data available"|"Autosomal dominant"
251877|"Childhood, Infancy"|""|"Not applicable"
2202|"Childhood"|"normal life expectancy"|"Autosomal dominant, Mitochondrial inheritance"
251870|"Childhood"|""|"Not applicable"
251899|"Childhood"|""|"Autosomal dominant"
2213|"Antenatal, Neonatal"|""|"Autosomal recessive"
2211|"Neonatal"|"No data available"|"Autosomal recessive"
251915|"All ages"|""|"Not applicable"
2218|"Childhood"|"No data available"|"Autosomal recessive"
251909|"Adolescent, Adult, Childhood, Infancy"|"adolescent, late childhood"|"Not applicable"
2215|"Neonatal"|""|"Autosomal recessive"
2216|"Antenatal, Neonatal"|""|""
251019|"Infancy, Neonatal"|""|"Not applicable, Unknown"
2266|"Childhood, Infancy"|"infantile"|"Autosomal recessive"
251028|"Infancy, Neonatal"|""|"Not applicable, Unknown"
2269|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
251038|"Infancy, Neonatal"|""|"Autosomal dominant, Not applicable"
250999|"Infancy, Neonatal"|""|"Not applicable, Unknown"
2261|"Infancy, Neonatal"|"No data available"|""
251004|"Infancy, Neonatal"|""|"Not applicable, Unknown"
251009|"Infancy, Neonatal"|""|"Not applicable, Unknown"
672|"Infancy, Neonatal"|"early childhood, infantile, normal life expectancy"|"Autosomal dominant, Not applicable"
251014|"Infancy, Neonatal"|""|"Not applicable, Unknown"
455|"Infancy, Neonatal"|"No data available"|"Autosomal dominant"
251061|"Infancy, Neonatal"|""|"Not applicable, Unknown"
251066|"Infancy, Neonatal"|""|"Not applicable, Unknown"
2272|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
251071|"Infancy, Neonatal"|""|"Not applicable, Unknown"
2274|"Infancy, Neonatal"|"No data available"|"Autosomal recessive, X-linked recessive"
251076|"Infancy, Neonatal"|""|"Not applicable, Unknown"
2273|"Infancy, Neonatal"|"any age"|"Autosomal dominant, Not applicable, X-linked recessive"
251043|"Infancy, Neonatal"|""|"Not applicable, Unknown"
165|"Infancy, Neonatal"|""|"Autosomal recessive"
251046|"Infancy, Neonatal"|""|"Not applicable, Unknown"
139|"Infancy, Neonatal"|"any age"|"Not applicable, X-linked dominant"
457|"Neonatal"|"infantile"|"Autosomal recessive"
2271|"Infancy, Neonatal"|"No data available"|"Unknown"
251056|"Infancy, Neonatal"|""|"Not applicable"
2246|"Infancy"|"No data available"|""
250831|"Adult"|""|"Multigenic/multifactorial, Not applicable"
2249|"Infancy, Neonatal"|"early childhood, infantile"|"Autosomal recessive"
2239|"Infancy, Neonatal"|"No data available"|"Autosomal recessive, X-linked recessive"
2241|"Infancy, Neonatal"|"early childhood"|"Autosomal dominant, Autosomal recessive"
250984|"Childhood"|""|"Autosomal recessive"
2256|"Antenatal, Neonatal"|"infantile"|""
2257|"Neonatal"|"infantile"|""
250977|"Antenatal, Infancy, Neonatal"|"No data available"|"Autosomal recessive"
250994|"Infancy, Neonatal"|""|"Autosomal dominant, Not applicable"
250989|"Infancy, Neonatal"|""|"Autosomal dominant, Not applicable"
2250|"Antenatal, Neonatal"|"No data available"|"Autosomal dominant, Unknown"
250923|"Neonatal"|"normal life expectancy"|"Autosomal dominant, Not applicable"
2251|"Infancy, Neonatal"|"No data available"|""
2252|"Neonatal"|"normal life expectancy"|""
250972|"Infancy, Neonatal"|""|"Autosomal recessive"
2255|"All ages"|""|"Autosomal dominant, Autosomal recessive"
250932|"Childhood"|""|"Autosomal dominant"
251380|"All ages"|""|"Autosomal recessive"
2306|"Infancy, Neonatal"|"infantile"|"Autosomal recessive, X-linked recessive"
251383|"Infancy, Neonatal"|""|"X-linked recessive"
2305|"Infancy, Neonatal"|""|"Not applicable"
251370|"All ages"|""|"Autosomal recessive"
251375|"All ages"|""|"Autosomal recessive"
251359|"All ages"|""|"Autosomal recessive"
251365|"All ages"|""|"Autosomal recessive"
2295|"Adolescent, Childhood, Infancy"|"normal life expectancy"|"Autosomal dominant"
251355|"All ages"|""|"Autosomal recessive"
2292|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
2319|"Antenatal, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
251523|"Childhood"|""|"Unknown"
2316|"Childhood"|""|"Autosomal dominant"
2315|"Infancy, Neonatal"|"infantile, stillbirth"|"Autosomal recessive"
251510|"Infancy, Neonatal"|"any age"|"Autosomal dominant, Autosomal recessive, X-linked recessive, Y-linked"
251515|"Infancy, Neonatal"|""|"Autosomal dominant"
2310|"Antenatal"|"No data available"|""
2309|"All ages"|"normal life expectancy"|"Autosomal dominant"
251393|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal recessive"
2307|"Antenatal, Neonatal"|"infantile"|"Autosomal dominant"
251295|"All ages"|""|"Autosomal dominant, Not applicable"
251290|"Infancy, Neonatal"|""|"Autosomal dominant"
2282|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
251287|"Childhood"|""|"Autosomal dominant"
251282|"Adolescent, Adult, Childhood"|"No data available"|"Autosomal dominant"
251279|"Adult"|""|"Autosomal recessive"
251274|"Adolescent, Childhood, Infancy"|""|"Autosomal dominant"
2278|"Neonatal"|"No data available"|""
251262|"Childhood"|""|"Autosomal dominant"
2291|"Neonatal"|"normal life expectancy"|"Autosomal dominant"
251347|"Infancy, Neonatal"|""|"Autosomal recessive"
251332|"All ages"|""|""
251328|""|""|"Not applicable"
2289|"Adolescent, Adult, Childhood, Infancy"|""|""
2290|"Infancy, Neonatal"|""|"Autosomal recessive"
2285|"All ages"|""|"Autosomal dominant"
251307|"All ages"|""|"Not applicable"
251304|"Infancy, Neonatal"|""|"Not applicable"
2674|"Antenatal, Neonatal"|"No data available"|"Autosomal dominant"
254837|""|""|"Autosomal recessive, X-linked recessive"
2673|"Antenatal, Neonatal"|"normal life expectancy"|""
2672|"Childhood, Infancy"|"No data available"|"Autosomal dominant"
254857|"Infancy, Neonatal"|"early childhood"|"Mitochondrial inheritance"
2678|"Childhood"|"No data available"|"Autosomal dominant"
254864|"Infancy, Neonatal"|"normal life expectancy"|"Mitochondrial inheritance"
254851|"Childhood"|""|"Mitochondrial inheritance"
254854|""|""|"Mitochondrial inheritance"
2668|"Childhood"|"No data available"|"Autosomal recessive"
2663|"Childhood"|"No data available"|""
254803|"Infancy, Neonatal"|""|"Autosomal recessive"
2671|"Antenatal"|"infantile, stillbirth"|"Autosomal recessive"
1475|"Childhood"|""|"Autosomal dominant"
2670|"Childhood, Neonatal"|"infantile"|"Autosomal recessive"
2669|"Infancy, Neonatal"|"No data available"|"Unknown"
254930|"Childhood, Infancy"|"adult, late childhood"|"Autosomal recessive"
254925|"Neonatal"|"early childhood"|"Autosomal recessive"
2697|"Neonatal"|"infantile"|"Autosomal recessive"
254920|"Neonatal"|"infantile"|"Autosomal recessive"
2695|"Antenatal, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
254913|"Neonatal"|"early childhood, infantile"|"Autosomal recessive"
255182|"Infancy, Neonatal"|"adolescent, late childhood"|"Autosomal recessive"
2701|"Antenatal, Infancy, Neonatal"|""|"Autosomal dominant"
255138|"Childhood"|"adolescent, late childhood"|"Autosomal recessive"
255132|"Adult"|""|"Autosomal recessive"
2698|"Childhood"|"normal life expectancy"|""
2699|"Infancy, Neonatal"|"No data available"|"Autosomal dominant"
254886|"All ages"|""|"Autosomal recessive"
254881|"Adolescent, Childhood"|""|"Autosomal recessive"
254875|"Infancy, Neonatal"|""|"Autosomal recessive"
254871|"Infancy, Neonatal"|""|"Autosomal recessive"
254905|""|""|"Autosomal recessive, Mitochondrial inheritance"
254902|"Infancy, Neonatal"|""|"Autosomal recessive"
2690|"Infancy, Neonatal"|"No data available"|"Unknown"
254898|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
254892|""|""|"Autosomal dominant"
2712|"Infancy, Neonatal"|""|"X-linked dominant"
2714|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
2713|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
2715|"Infancy"|"late childhood"|""
2718|"Childhood"|"No data available"|"Autosomal recessive"
2717|"Infancy, Neonatal"|""|"Autosomal recessive"
2704|"Childhood"|""|"Autosomal recessive"
2703|"Antenatal"|"normal life expectancy"|""
255210|"Childhood, Infancy"|""|"Mitochondrial inheritance"
255229|"Childhood, Infancy"|""|"Autosomal recessive"
2707|"Antenatal, Neonatal"|"No data available"|"Autosomal recessive"
255235|"Infancy, Neonatal"|"infantile"|"Autosomal recessive"
2710|"Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
255241|"Infancy, Neonatal"|""|"Autosomal recessive"
2709|"Infancy, Neonatal"|"No data available"|"Autosomal dominant"
255249|"Infancy, Neonatal"|""|"Autosomal recessive"
2728|"Infancy, Neonatal"|""|"Not applicable"
2730|"Neonatal"|"normal life expectancy"|""
2732|"Infancy, Neonatal"|""|"Autosomal recessive"
2733|"Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
2719|"Neonatal"|"No data available"|""
2720|"Neonatal"|"normal life expectancy"|""
2721|"Childhood"|"normal life expectancy"|"Autosomal recessive"
2722|"Neonatal"|"normal life expectancy"|""
2723|"Childhood"|"normal life expectancy"|"Autosomal recessive"
2724|"No data available"|"No data available"|""
260305|"Infancy, Neonatal"|""|"Autosomal recessive"
2725|"Neonatal"|"normal life expectancy"|""
2755|"Infancy, Neonatal"|"No data available"|"X-linked recessive"
2754|"Infancy, Neonatal"|"No data available"|"Autosomal recessive, X-linked recessive"
252164|"Adult, Elderly"|""|"Not applicable"
2753|"Infancy, Neonatal"|""|"Autosomal recessive"
2752|"Childhood"|"No data available"|"Autosomal recessive"
2751|"Infancy, Neonatal"|""|"Autosomal recessive"
2750|"Infancy, Neonatal"|"any age"|"Not applicable, X-linked dominant"
2743|"Neonatal"|"normal life expectancy"|""
252054|"Adult"|""|""
2741|"No data available"|"No data available"|""
661|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal dominant, Not applicable"
2736|"Antenatal, Neonatal"|"infantile, stillbirth"|"Autosomal recessive"
254367|"All ages"|"normal life expectancy"|""
2776|"Childhood"|""|"Autosomal recessive"
2777|"Adolescent, Adult, Childhood"|"No data available"|"Autosomal dominant"
254361|"Childhood"|""|"Autosomal recessive"
2774|"Childhood"|""|"Autosomal dominant"
254351|"Infancy, Neonatal"|""|"Autosomal dominant, Not applicable"
2769|"Neonatal"|"normal life expectancy"|""
254346|"Infancy, Neonatal"|""|"Not applicable, Unknown"
2770|"Adolescent, Adult"|"adult"|"Autosomal recessive"
254343|"Childhood"|"No data available"|"Autosomal recessive"
2767|"Adult"|"normal life expectancy"|"Autosomal dominant"
254334|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
2768|"Childhood, Infancy"|""|"Autosomal recessive"
2762|"Childhood, Infancy"|"No data available"|"Autosomal dominant"
252212|"All ages"|"any age"|""
2763|"Antenatal, Neonatal"|"infantile, stillbirth"|"Autosomal dominant"
252206|"Adult, Elderly"|""|"Autosomal dominant, Unknown"
252202|"Childhood"|""|"Autosomal recessive"
2759|"Neonatal"|"No data available"|""
2760|"Neonatal"|"No data available"|"Autosomal dominant"
254516|"Infancy, Neonatal"|""|"Autosomal dominant, Not applicable"
2793|"Antenatal, Neonatal"|"No data available"|"Autosomal recessive"
2792|"Antenatal, Neonatal"|""|""
254519|"Infancy, Neonatal"|""|"Autosomal dominant, Not applicable"
254525|"Infancy, Neonatal"|""|"Autosomal dominant, Not applicable"
2798|"Childhood"|"No data available"|""
2796|"Childhood"|"normal life expectancy"|"Autosomal recessive"
254528|"Infancy, Neonatal"|""|"Autosomal dominant, Not applicable"
254478|"All ages"|""|""
2789|"Infancy, Neonatal"|""|"Autosomal dominant"
2788|"Childhood"|""|"Autosomal recessive"
254492|"Adult"|""|""
2791|"Childhood"|""|"Autosomal dominant"
254504|"Adult"|"adult"|""
2790|"Adolescent"|"normal life expectancy"|"Autosomal dominant"
254509|"All ages"|"any age"|""
254411|"Adult"|""|""
1306|"All ages"|"normal life expectancy"|"Autosomal dominant"
254424|"All ages"|""|""
2783|"Adolescent, Childhood"|"normal life expectancy"|"Autosomal dominant"
2787|"Infancy, Neonatal"|""|""
254449|"All ages"|""|""
2786|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
254463|"Adult"|""|""
2780|"Infancy, Neonatal"|""|"X-linked dominant"
2779|"Neonatal"|"normal life expectancy"|"Autosomal dominant, X-linked dominant"
254379|"All ages"|""|""
254395|"All ages"|""|""
667|"Infancy, Neonatal"|""|"Autosomal recessive"
2815|"Childhood"|"No data available"|""
254788|""|""|"Mitochondrial inheritance"
2818|"Adult"|"No data available"|"Autosomal recessive"
2808|"Neonatal"|"normal life expectancy"|""
2809|"Adolescent, Adult, Childhood"|"normal life expectancy"|""
2812|"Infancy"|"No data available"|""
2805|"Infancy, Neonatal"|""|"Autosomal recessive"
254698|"Adult"|""|"Not applicable"
254693|"Adult"|"normal life expectancy"|"Not applicable"
675|"Infancy, Neonatal"|""|"Autosomal dominant, Not applicable"
2807|"All ages"|""|""
678|"Childhood, Infancy, Neonatal"|"normal life expectancy"|"Autosomal recessive"
254704|"No data available"|""|"Autosomal dominant, Autosomal recessive"
254534|"Infancy, Neonatal"|""|"Autosomal dominant, Not applicable"
2802|"Childhood, Infancy"|"normal life expectancy"|"X-linked recessive"
254531|"Infancy, Neonatal"|""|"Autosomal dominant, Not applicable"
254688|"Adult"|"normal life expectancy"|"Autosomal recessive, Not applicable"
2804|"Infancy, Neonatal"|""|"X-linked recessive"
2491|"Neonatal"|"No data available"|""
2492|"Antenatal, Neonatal"|"No data available, infantile"|""
2498|""|""|"Autosomal dominant, X-linked recessive"
2499|"Childhood"|"normal life expectancy"|"Autosomal dominant"
2496|"Antenatal, Infancy, Neonatal"|"No data available"|"Autosomal dominant"
2497|"Neonatal"|"No data available"|""
2502|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
2500|"Childhood, Infancy"|""|""
2501|"Childhood"|"normal life expectancy"|"Autosomal recessive"
2504|"Infancy, Neonatal"|""|"Autosomal dominant"
2505|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal dominant, Autosomal recessive"
2511|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
2510|"Childhood"|"any age"|"Autosomal recessive"
2508|"Infancy, Neonatal"|""|"X-linked recessive"
2516|"Infancy, Neonatal"|"infantile"|"Autosomal recessive"
2515|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
2514|""|""|"Autosomal dominant"
2513|"Infancy, Neonatal"|"No data available"|"Unknown"
2521|"Infancy, Neonatal"|"No data available"|"Unknown"
2518|"Neonatal"|""|"Autosomal recessive"
2524|"Infancy, Neonatal"|"adolescent, early childhood, late childhood, young Adult"|"Autosomal recessive"
2523|"Neonatal"|"No data available"|""
2522|"Antenatal, Neonatal"|"No data available"|"Autosomal recessive"
2526|"Neonatal"|""|"Autosomal dominant"
2528|"Infancy, Neonatal"|"late childhood"|""
2533|"Infancy, Neonatal"|"No data available"|""
2536|"Childhood, Infancy, Neonatal"|"normal life expectancy"|""
261911|"Antenatal"|""|""
2549|"Antenatal, Neonatal"|""|""
2551|"Infancy, Neonatal"|""|"Autosomal dominant"
2554|"Antenatal, Neonatal"|"No data available"|"Autosomal dominant, Autosomal recessive"
2556|"Neonatal"|""|"X-linked dominant"
2558|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
2557|"Infancy, Neonatal"|""|"Autosomal recessive"
2561|"Childhood"|"No data available"|"Autosomal recessive"
2560|"Infancy, Neonatal"|"No data available"|"Not applicable"
2564|"Antenatal"|"normal life expectancy"|"Autosomal dominant"
2563|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
2565|"Infancy, Neonatal"|"No data available"|"X-linked dominant"
2574|"Neonatal"|"normal life expectancy"|""
575|"Childhood, Infancy, Neonatal"|"adult, elderly"|"Autosomal dominant"
2572|"Childhood"|"normal life expectancy"|"Autosomal recessive"
2573|"All ages"|""|"Autosomal dominant, Autosomal recessive, Multigenic/multifactorial, X-linked recessive"
2570|"Antenatal"|"stillbirth"|""
2571|"Infancy, Neonatal"|"early childhood, infantile"|"X-linked dominant"
2585|"Adolescent, Adult, Childhood"|"normal life expectancy"|"Autosomal dominant"
261144|"Infancy, Neonatal"|""|""
261120|"Infancy, Neonatal"|""|"Not applicable, Unknown"
2578|"Adolescent, Antenatal, Neonatal"|"normal life expectancy"|"Autosomal dominant, Not applicable"
261112|"Antenatal, Neonatal"|""|""
2579|"Childhood"|"No data available"|"Autosomal dominant"
261102|"Infancy, Neonatal"|""|""
2576|"Childhood, Infancy, Neonatal"|"any age"|"Autosomal recessive"
261236|"Infancy, Neonatal"|""|"Autosomal dominant, Not applicable"
261243|"Infancy, Neonatal"|""|"Not applicable, Unknown"
2608|"Infancy, Neonatal"|"late childhood"|"X-linked recessive"
1359|"Infancy, Neonatal"|""|"Autosomal dominant"
2593|"Adolescent, Adult, Childhood"|""|"Autosomal dominant"
2590|"Childhood"|"No data available"|"Autosomal recessive"
261211|"Infancy, Neonatal"|""|"Not applicable, Unknown"
2589|"Childhood"|"normal life expectancy"|"Autosomal dominant"
261190|"Infancy, Neonatal"|""|"Not applicable, Unknown"
2588|"Antenatal, Infancy, Neonatal"|""|"Autosomal dominant"
261197|"Childhood"|"adult"|"Autosomal dominant, Not applicable"
261295|"Infancy, Neonatal"|""|"Not applicable, Unknown"
261304|"Antenatal, Neonatal"|"No data available"|""
261279|"Infancy, Neonatal"|""|"Not applicable, Unknown"
261290|"Infancy, Neonatal"|""|"Not applicable, Unknown"
2617|"Infancy, Neonatal"|"No data available"|""
261250|"Infancy, Neonatal"|""|"Not applicable, Unknown"
2616|"Antenatal"|"normal life expectancy"|"Autosomal recessive"
2613|"Infancy, Neonatal"|"late childhood"|"Autosomal dominant"
261344|"Antenatal, Neonatal"|""|""
261337|"Antenatal, Childhood, Infancy, Neonatal"|""|"Autosomal dominant"
261476|"Infancy, Neonatal"|"infantile, normal life expectancy"|""
261349|"Infancy, Neonatal"|""|""
261318|"Infancy, Neonatal"|""|"Not applicable, Unknown"
261311|"Neonatal"|""|""
2623|"Childhood"|""|"Autosomal dominant, Autosomal recessive"
261330|"Neonatal"|""|"Autosomal dominant"
261323|"Infancy, Neonatal"|"No data available"|""
261524|"Neonatal"|""|""
2639|"Antenatal, Neonatal"|""|"Autosomal recessive"
261519|"Neonatal"|""|""
261534|"Neonatal"|""|""
261529|"Neonatal"|""|""
2631|"Neonatal"|"No data available"|"Autosomal recessive"
261494|"Neonatal"|""|"Autosomal dominant"
261483|"Infancy, Neonatal"|""|"X-linked recessive"
2632|"Antenatal"|"normal life expectancy"|"Autosomal recessive"
2633|"Antenatal, Neonatal"|""|"Autosomal dominant"
261501|"Neonatal"|""|""
2634|"Infancy, Neonatal"|""|"Autosomal dominant"
2646|"Infancy, Neonatal"|""|"Autosomal dominant"
2645|"Neonatal"|"infantile"|"Autosomal dominant"
2643|"Antenatal, Neonatal"|"No data available"|""
2636|"Infancy, Neonatal"|"early childhood, embryofetal, infantile, late childhood, stillbirth"|"Autosomal recessive"
2658|"Infancy, Neonatal"|""|"Autosomal dominant"
264200|"Infancy, Neonatal"|""|""
3057|"Childhood"|""|"X-linked recessive"
3055|"Infancy, Neonatal"|"No data available"|"X-linked recessive"
3052|"Infancy, Neonatal"|"late childhood"|"X-linked recessive"
3047|"Antenatal, Infancy, Neonatal"|""|"Autosomal dominant"
3044|"Childhood"|"normal life expectancy"|"Unknown"
3042|"Childhood, Infancy"|"normal life expectancy"|""
3041|"Infancy, Neonatal"|"normal life expectancy"|"X-linked recessive"
3038|"Childhood"|"No data available"|""
263665|"Adult"|"normal life expectancy"|"Not applicable"
263558|"Infancy, Neonatal"|""|"Unknown"
3035|"Antenatal"|"stillbirth"|""
263662|"All ages"|""|"Autosomal dominant"
3034|"Infancy, Neonatal"|"normal life expectancy"|""
263548|"Infancy, Neonatal"|""|"Autosomal recessive"
3033|"Antenatal"|"infantile, stillbirth"|"Autosomal recessive, Not applicable"
263553|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal recessive"
3032|"Childhood"|"No data available"|"Autosomal recessive"
263534|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal recessive"
263543|"Infancy, Neonatal"|""|"Autosomal recessive"
263516|"Childhood, Infancy"|"No data available"|"Autosomal recessive"
263524|"Childhood"|""|"Not applicable"
263501|"Infancy, Neonatal"|""|"Autosomal recessive"
3026|"Infancy, Neonatal"|""|"Autosomal dominant"
263508|"Infancy, Neonatal"|""|"Autosomal recessive"
263482|"Infancy, Neonatal"|""|"Not applicable"
3021|"Infancy, Neonatal"|""|"Autosomal recessive"
