"OrphaCode"|"Name"|"Group"|"Type"|"OMIM"
181412|"Adrenogenital syndrome"|"Group of disorders"|"Category"|
181415|"Rare primary hyperaldosteronism"|"Group of disorders"|"Category"|
181405|"Rare hypoparathyroidism"|"Group of disorders"|"Category"|
871|"Familial progressive cardiac conduction defect"|"Disorder"|"Disease"|612838
181408|"Rare hyperparathyroidism"|"Group of disorders"|"Category"|
1597|"Distal monosomy 17q"|"Disorder"|"Malformation syndrome"|
1590|"Distal monosomy 13q"|"Disorder"|"Malformation syndrome"|602553
1587|"Monosomy 13q14"|"Disorder"|"Malformation syndrome"|613884
1621|"3q13 microdeletion syndrome"|"Disorder"|"Malformation syndrome"|615433
1620|"Distal monosomy 3p"|"Disorder"|"Malformation syndrome"|613792
1643|"Xp22.3 microdeletion syndrome"|"Disorder"|"Malformation syndrome"|
1627|"Deletion 5q35"|"Disorder"|"Malformation syndrome"|
1699|"Trisomy 12p"|"Disorder"|"Malformation syndrome"|
1695|"Non-distal trisomy 10q"|"Disorder"|"Malformation syndrome"|
500|"Noonan syndrome with multiple lentigines"|"Disorder"|"Malformation syndrome"|613707
507|"Leishmaniasis"|"Disorder"|"Disease"|608207
548|"Leprosy"|"Disorder"|"Disease"|613407
233|"Duane retraction syndrome"|"Disorder"|"Malformation syndrome"|616219
657|"Congenital isolated hyperinsulinism"|"Group of disorders"|"Clinical group"|
2445|"Conotruncal heart malformations"|"Group of disorders"|"Category"|217095
2495|"Meningioma"|"Disorder"|"Disease"|606190
569|"Familial or sporadic hemiplegic migraine"|"Disorder"|"Disease"|609634
2014|"Cleft palate"|"Group of disorders"|"Clinical group"|119540
240|"Léri-Weill dyschondrosteosis"|"Disorder"|"Malformation syndrome"|127300
2311|"Autosomal recessive spondylocostal dysostosis"|"Disorder"|"Malformation syndrome"|616566
358|"Gitelman syndrome"|"Disorder"|"Disease"|263800
242|"46,XY complete gonadal dysgenesis"|"Disorder"|"Malformation syndrome"|616425
2052|"Fraser syndrome"|"Disorder"|"Malformation syndrome"|219000
1354|"Heart defects-limb shortening syndrome"|"Disorder"|"Malformation syndrome"|212135
1358|"Carey-Fineman-Ziter syndrome"|"Disorder"|"Malformation syndrome"|254940
557|"Non-syndromic anorectal malformation"|"Group of disorders"|"Clinical group"|301800
111|"Barth syndrome"|"Disorder"|"Disease"|302060
10|"48,XXYY syndrome"|"Disorder"|"Malformation syndrome"|
1308|"C syndrome"|"Disorder"|"Malformation syndrome"|211750
150|"Nasopharyngeal carcinoma"|"Disorder"|"Disease"|617075
133|"Chronic beryllium disease"|"Disorder"|"Disease"|
1552|"Currarino syndrome"|"Disorder"|"Malformation syndrome"|176450
1450|"Ring chromosome 8 syndrome"|"Disorder"|"Malformation syndrome"|
1448|"Ring chromosome 6 syndrome"|"Disorder"|"Malformation syndrome"|
1581|"Non-distal monosomy 10q"|"Disorder"|"Malformation syndrome"|
1580|"Distal monosomy 10p"|"Disorder"|"Malformation syndrome"|601362
1437|"Ring chromosome 1 syndrome"|"Disorder"|"Malformation syndrome"|
172|"Progressive familial intrahepatic cholestasis"|"Disorder"|"Disease"|615878
1447|"Ring chromosome 4 syndrome"|"Disorder"|"Malformation syndrome"|
1444|"Ring chromosome 20 syndrome"|"Disorder"|"Malformation syndrome"|
1439|"Ring chromosome 12 syndrome"|"Disorder"|"Malformation syndrome"|
1438|"Ring chromosome 10 syndrome"|"Disorder"|"Malformation syndrome"|
624|"Familial multiple nevi flammei"|"Disorder"|"Morphological anomaly"|163000
3306|"Inverted duplicated chromosome 15 syndrome"|"Disorder"|"Malformation syndrome"|
3375|"Trisomy X"|"Disorder"|"Malformation syndrome"|
3310|"Tetrasomy 9p"|"Disorder"|"Malformation syndrome"|
3000|"Familial male-limited precocious puberty"|"Disorder"|"Disease"|176410
3305|"Tetraploidy"|"Disorder"|"Malformation syndrome"|
3176|"Spina bifida-hypospadias syndrome"|"Disorder"|"Malformation syndrome"|
1708|"Mosaic trisomy 16"|"Disorder"|"Malformation syndrome"|
1711|"Mosaic trisomy 17"|"Disorder"|"Malformation syndrome"|
3376|"Triploidy"|"Disorder"|"Malformation syndrome"|
1692|"Mosaic trisomy 1"|"Disorder"|"Malformation syndrome"|
1698|"Mosaic trisomy 12"|"Disorder"|"Malformation syndrome"|
1706|"Mosaic trisomy 15"|"Disorder"|"Malformation syndrome"|
916|"Aase-Smith syndrome"|"Disorder"|"Malformation syndrome"|147800
920|"Ablepharon macrostomia syndrome"|"Disorder"|"Malformation syndrome"|200110
1445|"Ring chromosome 21 syndrome"|"Disorder"|"Malformation syndrome"|
7|"3C syndrome"|"Disorder"|"Malformation syndrome"|619135
931|"Acheiropodia"|"Disorder"|"Morphological anomaly"|200500
929|"Achalasia-microcephaly syndrome"|"Disorder"|"Malformation syndrome"|200450
869|"Triple A syndrome"|"Disorder"|"Disease"|615510
2297|"Insulin-resistance syndrome type A"|"Disorder"|"Disease"|610549
922|"Familial nasal acilia"|"Disorder"|"Disease"|
921|"Abruzzo-Erickson syndrome"|"Disorder"|"Malformation syndrome"|302905
27|"Vitamin B12-unresponsive methylmalonic acidemia"|"Disorder"|"Disease"|251000
939|"3-hydroxyisobutyric aciduria"|"Disorder"|"Disease"|236795
31|"Oxoglutaric aciduria"|"Disorder"|"Disease"|203740
935|"Short-limb skeletal dysplasia with severe combined immunodeficiency"|"Disorder"|"Disease"|200900
932|"Achondrogenesis"|"Disorder"|"Disease"|600972
1795|"Peripheral dysostosis"|"Disorder"|"Malformation syndrome"|170700
37|"Acrodermatitis enteropathica"|"Disorder"|"Disease"|201100
950|"Acrodysostosis"|"Disorder"|"Malformation syndrome"|614613
949|"Acrocraniofacial dysostosis"|"Disorder"|"Malformation syndrome"|201050
945|"Acalvaria"|"Disorder"|"Malformation syndrome"|
957|"Acropectorovertebral dysplasia"|"Disorder"|"Malformation syndrome"|102510
958|"Acro-renal-mandibular syndrome"|"Disorder"|"Malformation syndrome"|200980
955|"Hajdu-Cheney syndrome"|"Disorder"|"Malformation syndrome"|102500
952|"Acrofacial dysostosis, Weyers type"|"Disorder"|"Malformation syndrome"|193530
1702|"Non-distal trisomy 13q"|"Disorder"|"Malformation syndrome"|
1703|"Mosaic trisomy 14"|"Disorder"|"Malformation syndrome"|
1705|"Distal trisomy 14q"|"Disorder"|"Malformation syndrome"|
1713|"17p11.2 microduplication syndrome"|"Disorder"|"Malformation syndrome"|610883
1738|"Trisomy 4p"|"Disorder"|"Malformation syndrome"|
1742|"Trisomy 5p"|"Disorder"|"Malformation syndrome"|
1745|"Distal trisomy 6p"|"Disorder"|"Malformation syndrome"|
1752|"Trisomy 8q"|"Disorder"|"Malformation syndrome"|
1762|"Proximal Xq28 duplication syndrome"|"Disorder"|"Malformation syndrome"|300260
1878|"TRIM32-related limb-girdle muscular dystrophy R8"|"Disorder"|"Disease"|254110
1876|"Oculogastrointestinal muscular dystrophy"|"Disorder"|"Disease"|277320
1948|"Epilepsy-microcephaly-skeletal dysplasia syndrome"|"Disorder"|"Malformation syndrome"|601352
1946|"Amelocerebrohypohidrotic syndrome"|"Disorder"|"Malformation syndrome"|226750
1951|"Epilepsy-telangiectasia syndrome"|"Disorder"|"Disease"|226850
381|"Griscelli syndrome"|"Disorder"|"Disease"|609227
2604|"Familial visceral myopathy"|"Disorder"|"Disease"|155310
156|"Carnitine palmitoyl transferase 1A deficiency"|"Disorder"|"Disease"|255120
2597|"Mitochondrial myopathy-lactic acidosis-deafness syndrome"|"Disorder"|"Disease"|251950
2598|"Mitochondrial myopathy and sideroblastic anemia"|"Disorder"|"Disease"|613561
1078|"Thumb stiffness-brachydactyly-intellectual disability syndrome"|"Disorder"|"Malformation syndrome"|188201
1077|"Dental ankylosis"|"Disorder"|"Malformation syndrome"|
1074|"Ankyloblepharon filiforme adnatum-imperforate anus syndrome"|"Subtype of disorder"|"Clinical subtype"|
1072|"Ankyloblepharon filiforme adnatum-cleft palate syndrome"|"Subtype of disorder"|"Clinical subtype"|106250
1071|"Ankyloblepharon-ectodermal defects-cleft lip/palate syndrome"|"Disorder"|"Malformation syndrome"|106260
1069|"Aniridia-absent patella syndrome"|"Disorder"|"Malformation syndrome"|106220
1068|"Aniridia-intellectual disability syndrome"|"Disorder"|"Malformation syndrome"|
1067|"Aniridia-ptosis-intellectual disability-familial obesity syndrome"|"Disorder"|"Malformation syndrome"|
1064|"Aniridia-renal agenesis-psychomotor retardation syndrome"|"Disorder"|"Malformation syndrome"|206750
1062|"Hereditary neurocutaneous malformation"|"Disorder"|"Disease"|106070
1053|"Vein of Galen aneurysmal malformation"|"Disorder"|"Morphological anomaly"|618196
1055|"Congenital left ventricular aneurysm"|"Disorder"|"Malformation syndrome"|
1052|"Mosaic variegated aneuploidy syndrome"|"Disorder"|"Malformation syndrome"|617598
1040|"Metaphyseal anadysplasia"|"Disorder"|"Disease"|613073
1041|"Hydrops fetalis"|"Disorder"|"Malformation syndrome"|236750
1037|"Arthrogryposis multiplex congenita"|"Group of disorders"|"Clinical group"|
1126|"Aprosencephaly cerebellar dysgenesis"|"Disorder"|"Malformation syndrome"|601374
1125|"Ocular motor apraxia, Cogan type"|"Disorder"|"Disease"|257550
1121|"Radial deficiency-tibial hypoplasia syndrome"|"Disorder"|"Malformation syndrome"|
1120|"Lung agenesis-heart defect-thumb anomalies syndrome"|"Disorder"|"Malformation syndrome"|601612
1122|"Ulnar hypoplasia-split foot syndrome"|"Disorder"|"Malformation syndrome"|314360
1116|"Aplasia cutis congenita-intestinal lymphangiectasia syndrome"|"Disorder"|"Disease"|207731
1118|"Fibular aplasia-ectrodactyly syndrome"|"Disorder"|"Malformation syndrome"|113310
1117|"Aplasia cutis-myopia syndrome"|"Disorder"|"Disease"|601075
1110|"Aortic arch anomaly-facial dysmorphism-intellectual disability syndrome"|"Disorder"|"Malformation syndrome"|107500
1113|"Aphalangy-syndactyly-microcephaly syndrome"|"Disorder"|"Malformation syndrome"|600384
1112|"Aphalangy-hemivertebrae-urogenital-intestinal dysgenesis syndrome"|"Disorder"|"Malformation syndrome"|207620
1106|"Microphthalmia with limb anomalies"|"Disorder"|"Malformation syndrome"|206920
83|"Antley-Bixler syndrome"|"Disorder"|"Malformation syndrome"|207410
1104|"Anophthalmia plus syndrome"|"Disorder"|"Malformation syndrome"|600776
1094|"Anonychia-microcephaly syndrome"|"Disorder"|"Malformation syndrome"|607214
991|"PAGOD syndrome"|"Disorder"|"Malformation syndrome"|202660
139039|"Orofacial clefting syndrome"|"Group of disorders"|"Category"|
990|"Agnathia-holoprosencephaly-situs inversus syndrome"|"Disorder"|"Malformation syndrome"|202650
989|"Hypoglossia-hypodactyly syndrome"|"Disorder"|"Malformation syndrome"|103300
139042|"Malformation syndrome with odontal and/or periodontal component"|"Group of disorders"|"Category"|
994|"Fetal akinesia deformation sequence"|"Disorder"|"Malformation syndrome"|618389
51|"Aicardi-Goutières syndrome"|"Disorder"|"Disease"|615846
139021|"Malformation syndrome with short stature"|"Group of disorders"|"Category"|
981|"Internal carotid absence"|"Disorder"|"Morphological anomaly"|
139024|"Overgrowth/obesity syndrome"|"Group of disorders"|"Category"|
978|"ADULT syndrome"|"Disorder"|"Malformation syndrome"|103285
977|"Adrenomyodystrophy"|"Disorder"|"Disease"|300270
988|"Tibial hemimelia-polysyndactyly-triphalangeal thumb syndrome"|"Disorder"|"Malformation syndrome"|188740
139033|"Progeroid syndrome"|"Group of disorders"|"Category"|
139036|"Branchial arch or oral-acral syndrome"|"Group of disorders"|"Category"|
139027|"Rare developmental defect with skin/mucosae involvement"|"Group of disorders"|"Category"|
983|"Testicular regression syndrome"|"Disorder"|"Morphological anomaly"|273250
139030|"Rare developmental defect with connective tissue involvement"|"Group of disorders"|"Category"|
970|"Hereditary sensory and autonomic neuropathy type 2"|"Disorder"|"Disease"|614213
971|"Acrorenal syndrome"|"Disorder"|"Malformation syndrome"|201310
40|"Acromesomelic dysplasia, Maroteaux type"|"Disorder"|"Malformation syndrome"|602875
969|"Acromicric dysplasia"|"Disorder"|"Malformation syndrome"|102370
139012|"Rare bone development disorder"|"Group of disorders"|"Category"|
974|"Adams-Oliver syndrome"|"Disorder"|"Malformation syndrome"|616589
139009|"Developmental anomaly of metabolic origin"|"Group of disorders"|"Category"|
972|"Hereditary continuous muscle fiber activity"|"Disorder"|"Disease"|160120
973|"Congenital absence/hypoplasia of fingers excluding thumb, unilateral"|"Disorder"|"Morphological anomaly"|102650
959|"Acro-renal-ocular syndrome"|"Disorder"|"Malformation syndrome"|607323
968|"Acromesomelic dysplasia, Hunter-Thompson type"|"Disorder"|"Malformation syndrome"|201250
139411|"Carney triad"|"Disorder"|"Disease"|604287
139414|"Congenital panfollicular nevus"|"Disorder"|"Disease"|
1028|"Amelo-onycho-hypohidrotic syndrome"|"Disorder"|"Malformation syndrome"|104570
139417|"Acute transverse myelitis"|"Disorder"|"Disease"|
1031|"Enamel-renal syndrome"|"Disorder"|"Malformation syndrome"|204690
139423|"Idiopathic acute transverse myelitis"|"Subtype of disorder"|"Clinical subtype"|
139426|"Perioral myoclonia with absences"|"Disorder"|"Disease"|
139431|"Jeavons syndrome"|"Disorder"|"Disease"|
1035|"Beta-mercaptolactate cysteine disulfiduria"|"Disorder"|"Biological anomaly"|249650
139436|"Multicentric reticulohistiocytosis"|"Disorder"|"Disease"|
1021|"Amaurosis-hypertrichosis syndrome"|"Disorder"|"Disease"|204110
64|"Alström syndrome"|"Disorder"|"Disease"|203800
1023|"Congenital generalized hypertrichosis, Ambras type"|"Subtype of disorder"|"Clinical subtype"|145701
139390|"Non-syndromic craniosynostosis"|"Group of disorders"|"Clinical group"|
139393|"Syndromic craniosynostosis"|"Group of disorders"|"Category"|
139396|"X-linked cerebral adrenoleukodystrophy"|"Subtype of disorder"|"Clinical subtype"|300100
139399|"Adrenomyeloneuropathy"|"Subtype of disorder"|"Clinical subtype"|300100
139402|"Drug reaction with eosinophilia and systemic symptoms"|"Disorder"|"Disease"|
1027|"Autosomal recessive amelia"|"Disorder"|"Malformation syndrome"|601360
139406|"Encephalopathy due to prosaposin deficiency"|"Disorder"|"Disease"|611721
1008|"Alopecia-epilepsy-pyorrhea-intellectual disability syndrome"|"Disorder"|"Disease"|104130
701|"Alopecia universalis"|"Disorder"|"Disease"|610753
1010|"Autosomal dominant palmoplantar keratoderma and congenital alopecia"|"Disorder"|"Disease"|104100
1014|"Alopecia-intellectual disability-hypergonadotropic hypogonadism syndrome"|"Disorder"|"Disease"|601217
1001|"2q37 microdeletion syndrome"|"Disorder"|"Malformation syndrome"|600430
59|"Allan-Herndon-Dudley syndrome"|"Disorder"|"Disease"|300523
1003|"Scalp defects-postaxial polydactyly syndrome"|"Disorder"|"Malformation syndrome"|181250
1005|"Alopecia-contractures-dwarfism-intellectual disability syndrome"|"Disorder"|"Malformation syndrome"|203550
1253|"Ascher syndrome"|"Disorder"|"Malformation syndrome"|109900
1252|"Blepharonasofacial malformation syndrome"|"Disorder"|"Malformation syndrome"|110050
1248|"Maxillonasal dysplasia"|"Disorder"|"Malformation syndrome"|155050
127|"Borjeson-Forssman-Lehmann syndrome"|"Disorder"|"Malformation syndrome"|301900
1264|"Tricho-retino-dento-digital syndrome"|"Disorder"|"Malformation syndrome"|191482
1262|"Böök syndrome"|"Disorder"|"Malformation syndrome"|112300
1263|"Boomerang dysplasia"|"Disorder"|"Disease"|112310
1259|"Blepharoptosis-myopia-ectopia lentis syndrome"|"Disorder"|"Disease"|110150
1261|"Bonnemann-Meinecke-Reich syndrome"|"Disorder"|"Malformation syndrome"|225755
1234|"Bartsocas-Papas syndrome"|"Disorder"|"Malformation syndrome"|619339
1231|"Barber-Say syndrome"|"Disorder"|"Malformation syndrome"|209885
1229|"Congenital intrauterine infection-like syndrome"|"Disorder"|"Malformation syndrome"|251290
109|"Bannayan-Riley-Ruvalcaba syndrome"|"Disorder"|"Malformation syndrome"|158350
1228|"Banki syndrome"|"Disorder"|"Malformation syndrome"|109300
1241|"Bencze syndrome"|"Disorder"|"Malformation syndrome"|141350
1240|"Metaphyseal acroscyphodysplasia"|"Disorder"|"Disease"|250215
1237|"Beemer-Ertbruggen syndrome"|"Disorder"|"Malformation syndrome"|209970
114|"Auriculoosteodysplasia"|"Disorder"|"Malformation syndrome"|109000
115|"Congenital contractural arachnodactyly"|"Disorder"|"Malformation syndrome"|121050
1236|"Severe microbrachycephaly-intellectual disability-athetoid cerebral palsy syndrome"|"Disorder"|"Malformation syndrome"|
137622|"Intractable diarrhea-choanal atresia-eye anomalies syndrome"|"Disorder"|"Malformation syndrome"|
137617|"Nephrogenic systemic fibrosis"|"Disorder"|"Disease"|
1292|"Brachymorphism-onychodysplasia-dysphalangism syndrome"|"Disorder"|"Malformation syndrome"|113477
137628|"Cardiac anomalies-heterotaxy syndrome"|"Disorder"|"Malformation syndrome"|
1293|"Brachyolmia"|"Group of disorders"|"Clinical group"|
137625|"Glycogen storage disease due to muscle and heart glycogen synthase deficiency"|"Disorder"|"Disease"|611556
137608|"Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome"|"Disorder"|"Malformation syndrome"|
1299|"Branchioskeletogenital syndrome"|"Disorder"|"Malformation syndrome"|211380
137672|"Pellucid marginal degeneration"|"Disorder"|"Disease"|
1300|"Autosomal dominant popliteal pterygium syndrome"|"Disorder"|"Malformation syndrome"|119500
137667|"Capillary malformation-arteriovenous malformation"|"Disorder"|"Malformation syndrome"|608354
137634|"Overgrowth-macrocephaly-facial dysmorphism syndrome"|"Disorder"|"Malformation syndrome"|614192
1295|"Brachytelephalangy-dysmorphism-Kallmann syndrome"|"Disorder"|"Malformation syndrome"|113480
137631|"Lung fibrosis-immunodeficiency-46,XX gonadal dysgenesis syndrome"|"Disorder"|"Disease"|611926
1296|"Lambert syndrome"|"Disorder"|"Malformation syndrome"|245550
1297|"Branchio-oculo-facial syndrome"|"Disorder"|"Malformation syndrome"|113620
137639|"Hypomyelinating leukodystrophy-ataxia-hypodontia-hypomyelination syndrome"|"Subtype of disorder"|"Clinical subtype"|607694
137577|"Neonatal hypoxic and ischemic brain injury"|"Disorder"|"Particular clinical situation in a disease or syndrome"|
137583|"Vulvar intraepithelial neoplasia"|"Disorder"|"Disease"|
1276|"Brachydactyly-arterial hypertension syndrome"|"Disorder"|"Malformation syndrome"|112410
1275|"Brachydactyly-elbow wrist dysplasia syndrome"|"Disorder"|"Malformation syndrome"|186550
1270|"Bowen-Conradi syndrome"|"Disorder"|"Malformation syndrome"|211180
137605|"Legius syndrome"|"Disorder"|"Malformation syndrome"|611431
137593|"Infectious epithelial keratitis"|"Disorder"|"Disease"|
137596|"Neurotrophic keratopathy"|"Disorder"|"Disease"|
1278|"Brachydactyly-preaxial hallux varus syndrome"|"Disorder"|"Malformation syndrome"|112450
137599|"Herpes simplex virus stromal keratitis"|"Disorder"|"Disease"|
137602|"Corneal endotheliitis"|"Disorder"|"Disease"|
1166|"Congenital unilateral hypoplasia of depressor anguli oris"|"Disorder"|"Morphological anomaly"|125520
1168|"Ataxia-oculomotor apraxia type 1"|"Disorder"|"Disease"|208920
137820|"Extrapelvic endometriosis"|"Disorder"|"Disease"|
1160|"Chylous ascites"|"Disorder"|"Disease"|208300
137817|"Arachnoiditis"|"Disorder"|"Disease"|182950
137814|"Macular amyloidosis"|"Disorder"|"Disease"|
1174|"Cerebellar ataxia-ectodermal dysplasia syndrome"|"Disorder"|"Malformation syndrome"|212835
137839|"Lemierre syndrome"|"Disorder"|"Disease"|
137834|"Frank-Ter Haar syndrome"|"Disorder"|"Disease"|249420
137831|"X-linked intellectual disability-cerebellar hypoplasia syndrome"|"Disorder"|"Disease"|300486
1170|"Autosomal recessive cerebelloparenchymal disorder type 3"|"Disorder"|"Disease"|213200
1178|"Ataxia-tapetoretinal degeneration syndrome"|"Disorder"|"Disease"|272600
1175|"X-linked progressive cerebellar ataxia"|"Disorder"|"Disease"|302500
1180|"Ataxia-hypogonadism-choroidal dystrophy syndrome"|"Disorder"|"Disease"|215470
1179|"Benign paroxysmal tonic upgaze of childhood with ataxia"|"Disorder"|"Disease"|168885
1173|"Cerebellar ataxia-hypogonadism syndrome"|"Disorder"|"Disease"|605672
137867|"Madras motor neuron disease"|"Disorder"|"Disease"|
137681|"Hepatoencephalopathy due to combined oxidative phosphorylation defect type 1"|"Disorder"|"Disease"|609060
1133|"AREDYLD syndrome"|"Disorder"|"Malformation syndrome"|207780
137675|"Histiocytoid cardiomyopathy"|"Disorder"|"Disease"|500000
1131|"X-linked mandibulofacial dysostosis"|"Disorder"|"Malformation syndrome"|301950
137678|"Spondyloepiphyseal dysplasia with metatarsal shortening"|"Disorder"|"Disease"|609162
137698|"Cytomegalovirus disease in patients with impaired cell mediated immunity deemed at risk"|"Disorder"|"Particular clinical situation in a disease or syndrome"|
137754|"Neurological conditions associated with aminoacylase 1 deficiency"|"Disorder"|"Disease"|609924
1145|"Infantile-onset X-linked spinal muscular atrophy"|"Disorder"|"Disease"|301830
137686|"Asherman syndrome"|"Disorder"|"Disease"|
1144|"Arthrogryposis-like hand anomaly-sensorineural deafness syndrome"|"Disorder"|"Malformation syndrome"|108200
137776|"Lethal congenital contracture syndrome type 2"|"Disorder"|"Malformation syndrome"|607598
1150|"Arthrogryposis multiplex congenita-whistling face syndrome"|"Disorder"|"Malformation syndrome"|208155
1149|"Kuskokwim syndrome"|"Disorder"|"Malformation syndrome"|208200
137807|"Primary cutaneous amyloidosis"|"Group of disorders"|"Clinical group"|
1159|"Progressive pseudorheumatoid arthropathy of childhood"|"Disorder"|"Disease"|208230
137810|"Nodular cutaneous amyloidosis"|"Disorder"|"Disease"|
137783|"Lethal congenital contracture syndrome type 3"|"Disorder"|"Malformation syndrome"|614915
1214|"Progressive hemifacial atrophy"|"Disorder"|"Disease"|141300
1215|"Autosomal dominant optic atrophy plus syndrome"|"Disorder"|"Disease"|616648
138041|"Pierre Robin syndrome associated with collagen disease"|"Group of disorders"|"Category"|
1216|"Autosomal dominant congenital benign spinal muscular atrophy"|"Disorder"|"Disease"|600175
138047|"Pierre Robin syndrome associated with a chromosomal anomaly"|"Group of disorders"|"Category"|
138044|"Rare disease with Pierre Robin syndrome"|"Group of disorders"|"Category"|
138055|"Pierre Robin syndrome associated with bone disease"|"Group of disorders"|"Category"|
1221|"Cheilitis glandularis"|"Disorder"|"Disease"|118330
138050|"Pierre Robin syndrome associated with branchial archs anomalies"|"Group of disorders"|"Category"|
138059|"Teratogenic Pierre Robin syndrome"|"Group of disorders"|"Category"|
1225|"Baller-Gerold syndrome"|"Disorder"|"Malformation syndrome"|218600
1226|"Bamforth-Lazarus syndrome"|"Disorder"|"Malformation syndrome"|241850
1227|"Bangstad syndrome"|"Disorder"|"Malformation syndrome"|210740
1184|"Ataxia-photosensitivity-short stature syndrome"|"Disorder"|"Malformation syndrome"|
1182|"Spastic ataxia with congenital miosis"|"Disorder"|"Disease"|108650
137888|"Auriculocondylar syndrome"|"Disorder"|"Malformation syndrome"|615706
137893|"Male infertility due to large-headed multiflagellar polyploid spermatozoa"|"Subtype of disorder"|"Clinical subtype"|243060
1186|"Infantile-onset spinocerebellar ataxia"|"Disorder"|"Disease"|271245
1185|"Spinocerebellar ataxia-dysmorphism syndrome"|"Disorder"|"Disease"|271270
137898|"Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome"|"Disorder"|"Disease"|611105
1188|"Ataxia-deafness-intellectual disability syndrome"|"Disorder"|"Malformation syndrome"|208850
137902|"Isolated optic nerve hypoplasia/aplasia"|"Disorder"|"Morphological anomaly"|165550
137905|"Syndromic optic nerve hypoplasia"|"Group of disorders"|"Category"|
1187|"Lethal ataxia with deafness and optic atrophy"|"Disorder"|"Disease"|301835
1190|"Atelosteogenesis type I"|"Disorder"|"Malformation syndrome"|108720
137908|"Hypotonia with lactic acidemia and hyperammonemia"|"Disorder"|"Disease"|611719
137911|"Autism-facial port-wine stain syndrome"|"Disorder"|"Malformation syndrome"|
137914|"Choanal atresia"|"Disorder"|"Morphological anomaly"|608911
1193|"Atkin-Flaitz syndrome"|"Disorder"|"Malformation syndrome"|300431
137917|"Choanal atresia, unilateral"|"Subtype of disorder"|"Clinical subtype"|
1200|"Burn-McKeown syndrome"|"Disorder"|"Malformation syndrome"|616462
137920|"Choanal atresia, bilateral"|"Subtype of disorder"|"Clinical subtype"|
1198|"Colonic atresia"|"Disorder"|"Morphological anomaly"|303650
137926|"Primary laryngeal lymphangioma"|"Disorder"|"Malformation syndrome"|
137929|"Neonatal brainstem dysfunction"|"Disorder"|"Disease"|
1203|"Duodenal atresia"|"Disorder"|"Morphological anomaly"|223400
1208|"Pulmonary atresia-intact ventricular septum syndrome"|"Disorder"|"Morphological anomaly"|265150
137932|"Congenital laryngeal palsy"|"Disorder"|"Malformation syndrome"|
137935|"Laryngotracheal angioma"|"Disorder"|"Disease"|
1449|"Ring chromosome 7 syndrome"|"Disorder"|"Malformation syndrome"|
141242|"Paramedian nasal cleft"|"Disorder"|"Morphological anomaly"|614687
1453|"Cleidorhizomelic syndrome"|"Disorder"|"Malformation syndrome"|119650
141239|"Median cleft of the upper lip and maxilla"|"Disorder"|"Morphological anomaly"|
1440|"Ring chromosome 14 syndrome"|"Disorder"|"Malformation syndrome"|616606
141234|"Median facial cleft"|"Group of disorders"|"Clinical group"|
1443|"Ring chromosome 19 syndrome"|"Disorder"|"Malformation syndrome"|
141229|"Facial cleft"|"Group of disorders"|"Category"|
141261|"Tessier number 5 facial cleft"|"Disorder"|"Morphological anomaly"|
141258|"Tessier number 4 facial cleft"|"Disorder"|"Morphological anomaly"|600251
1458|"CODAS syndrome"|"Disorder"|"Malformation syndrome"|600373
141253|"Oblique facial cleft"|"Group of disorders"|"Clinical group"|
1454|"Joubert syndrome with hepatic defect"|"Disorder"|"Disease"|619111
190|"Coats disease"|"Disorder"|"Disease"|300216
141199|"Cerebrofacial arteriovenous metameric syndrome type 3"|"Disorder"|"Malformation syndrome"|
1429|"Benign hereditary chorea"|"Disorder"|"Disease"|215450
141194|"Cerebrofacial arteriovenous metameric syndrome type 1"|"Disorder"|"Malformation syndrome"|
141189|"Cerebrofacial arteriovenous metameric syndrome"|"Group of disorders"|"Clinical group"|
1426|"Greenberg dysplasia"|"Disorder"|"Disease"|215140
141184|"Rapidly involuting congenital hemangioma"|"Disorder"|"Disease"|
1427|"Otospondylomegaepiphyseal dysplasia"|"Disorder"|"Disease"|215150
1435|"Xq21 microdeletion syndrome"|"Disorder"|"Malformation syndrome"|303110
141219|"Nasal dorsum fistula"|"Disorder"|"Morphological anomaly"|
1436|"X-linked skeletal dysplasia-intellectual disability syndrome"|"Disorder"|"Malformation syndrome"|309620
141214|"Isolated congenital syngnathia"|"Disorder"|"Malformation syndrome"|
141209|"Diffuse lymphatic malformation"|"Disorder"|"Malformation syndrome"|
1433|"Choroidal atrophy-alopecia syndrome"|"Disorder"|"Malformation syndrome"|
155832|"Rare head and neck malformation"|"Group of disorders"|"Category"|
1484|"Contractures-ectodermal dysplasia-cleft lip/palate syndrome"|"Disorder"|"Malformation syndrome"|301815
155835|"Cysts and fistulae of the face and oral cavity"|"Group of disorders"|"Category"|
141333|"Biemond syndrome type 2"|"Disorder"|"Disease"|210350
155878|"Submucosal cleft palate"|"Disorder"|"Morphological anomaly"|
1490|"Corneal dystrophy-perceptive deafness syndrome"|"Disorder"|"Malformation syndrome"|217400
1487|"Cooks syndrome"|"Disorder"|"Malformation syndrome"|106995
155838|"Pinnae fistula or cyst"|"Disorder"|"Morphological anomaly"|
155867|"Paramedian facial cleft"|"Group of disorders"|"Clinical group"|
1486|"Lethal congenital contracture syndrome type 1"|"Disorder"|"Malformation syndrome"|253310
