"OrphaCode"|"AverageAgeOfOnset"|"AverageAgeOfDeath"|"InheritanceTypes"
139390|"Infancy, Neonatal"|""|""
139396|"All ages"|""|"X-linked recessive"
139399|"Adult"|""|"X-linked recessive"
139402|"All ages"|""|"Not applicable"
1027|"Antenatal, Neonatal"|""|"Autosomal recessive"
139406|"Infancy, Neonatal"|""|"Autosomal recessive"
1008|"Neonatal"|""|"Autosomal dominant"
701|"All ages"|""|"Autosomal recessive, Multigenic/multifactorial"
1010|"Infancy, Neonatal"|""|"Autosomal dominant"
1014|"Neonatal"|""|"Unknown"
1001|"Neonatal"|""|"Autosomal dominant, Not applicable"
59|"Infancy, Neonatal"|""|"X-linked recessive"
1003|"Neonatal"|""|"Autosomal dominant"
1005|"Antenatal, Neonatal"|""|"Autosomal recessive"
1253|"Neonatal"|""|"Not applicable"
1252|"Childhood"|""|"Autosomal dominant, X-linked dominant"
1248|"Neonatal"|""|"Autosomal dominant, Autosomal recessive, Multigenic/multifactorial"
127|"Neonatal"|""|"X-linked recessive"
1264|"Neonatal"|""|"Autosomal dominant"
1262|"Adult"|""|"Autosomal dominant"
1263|"Antenatal, Neonatal"|""|"Not applicable"
1259|"Childhood"|""|"Autosomal dominant"
1261|"Infancy, Neonatal"|""|"Autosomal recessive"
1234|"Antenatal, Neonatal"|""|"Autosomal recessive"
1231|"Neonatal"|""|"Autosomal dominant, Autosomal recessive, Not applicable"
1229|"Antenatal, Neonatal"|""|"Autosomal recessive"
109|"Infancy, Neonatal"|""|"Autosomal dominant"
1228|"Neonatal"|""|"Autosomal dominant"
1241|"Childhood"|""|"Autosomal dominant"
1240|"Neonatal"|""|"Autosomal recessive"
1237|"Neonatal"|""|"Autosomal recessive"
114|"Neonatal"|""|"Autosomal dominant"
115|"Neonatal"|""|"Autosomal dominant"
1236|"Neonatal"|""|"No data available"
137622|"Infancy, Neonatal"|""|""
1292|"Neonatal"|""|"Autosomal dominant"
137628|""|""|"Autosomal dominant"
1293|"Childhood"|""|"Autosomal dominant, Autosomal recessive"
137625|"Childhood"|""|"Autosomal recessive"
137608|"Neonatal"|""|""
1299|"Neonatal"|""|"Autosomal recessive, X-linked dominant"
1300|"Antenatal, Neonatal"|""|"Autosomal dominant"
137667|"Infancy, Neonatal"|""|"Autosomal dominant, Not applicable"
137634|""|""|"Autosomal dominant"
1295|"Neonatal"|""|"Autosomal dominant"
137631|"Infancy"|""|""
1296|"Neonatal"|""|"Unknown"
1297|"Neonatal"|""|"Autosomal dominant"
137639|"Infancy, Neonatal"|""|"Autosomal recessive"
137577|"Infancy, Neonatal"|""|"Not applicable"
137583|"Adult, Elderly"|""|"Not applicable"
1276|"Neonatal"|""|"Autosomal dominant"
1275|""|""|"Autosomal dominant"
1270|"Antenatal, Neonatal"|""|"Autosomal recessive"
137605|"Childhood, Infancy, Neonatal"|""|"Autosomal dominant"
137596|"Adult, Childhood"|""|"Not applicable"
1278|"Neonatal"|""|"Autosomal dominant"
137599|"All ages"|""|"Not applicable"
1166|"Neonatal"|""|"Autosomal dominant"
1168|"Childhood"|""|"Autosomal recessive"
1160|"All ages"|""|""
137817|"All ages"|""|"Not applicable"
1174|"Neonatal"|""|"Autosomal recessive"
137839|"Adolescent"|""|""
137834|"Antenatal, Neonatal"|""|"Autosomal recessive"
137831|"Infancy, Neonatal"|""|"X-linked dominant"
1170|"Adolescent, Childhood, Infancy"|""|"Autosomal recessive"
1178|"Adolescent, Childhood, Infancy"|""|"Unknown"
1175|"Childhood"|""|"X-linked recessive"
1180|"Childhood"|""|"Autosomal recessive"
1179|"Infancy, Neonatal"|""|""
1173|"Adolescent, Adult, Childhood"|""|"Autosomal recessive"
137867|"Adolescent, Adult, Childhood"|""|"Not applicable, X-linked recessive"
137681|"Neonatal"|""|"Autosomal recessive"
1133|"Neonatal"|""|"Autosomal recessive"
137675|"Infancy, Neonatal"|""|"Autosomal recessive, Unknown, X-linked dominant"
1131|"Neonatal"|""|"X-linked recessive"
137678|"Adolescent, Childhood"|""|"Autosomal dominant"
137698|""|""|"Not applicable"
137754|"Childhood"|""|"Autosomal recessive"
1145|"Neonatal"|""|"X-linked recessive"
1144|"Neonatal"|""|"Unknown"
137686|"Adult"|""|"Not applicable"
137776|"Antenatal, Neonatal"|""|"Autosomal recessive"
1150|"Neonatal"|""|"Autosomal recessive"
1149|"Childhood, Neonatal"|""|"Autosomal recessive"
137807|"All ages"|""|"Autosomal dominant, Not applicable"
1159|"Childhood"|""|"Autosomal recessive"
137783|"Antenatal, Neonatal"|""|"Autosomal recessive"
1214|"Adolescent, Adult, Childhood"|""|"Not applicable"
1215|"Adolescent, Adult, Childhood"|""|"Autosomal dominant"
1216|"Antenatal, Neonatal"|""|"Autosomal dominant"
1221|"Adolescent, Adult, Childhood, Elderly"|""|"Not applicable"
1225|"Neonatal"|""|"Autosomal recessive"
1226|"Antenatal, Neonatal"|""|"Autosomal recessive"
1227|"Neonatal"|""|"Autosomal recessive"
1184|"Childhood, Infancy"|""|"Unknown"
1182|"Adolescent, Childhood, Infancy, Neonatal"|""|"Autosomal dominant"
137888|"Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
137893|""|""|"Autosomal recessive"
1186|"Infancy"|""|"Autosomal recessive"
1185|"Infancy"|""|"Autosomal recessive"
137898|"Childhood"|""|"Autosomal recessive"
1188|"Childhood, Infancy"|""|"Unknown"
137902|""|""|"Autosomal dominant"
1187|"Infancy, Neonatal"|""|"X-linked recessive"
1190|"Antenatal, Neonatal"|""|"Autosomal dominant"
137908|"Antenatal, Neonatal"|""|"Autosomal recessive"
137911|"Infancy, Neonatal"|""|""
137914|"Childhood, Infancy, Neonatal"|""|"Not applicable"
1193|"Neonatal"|""|"X-linked dominant"
137917|"Infancy, Neonatal"|""|"Not applicable"
1200|"Neonatal"|""|"Autosomal recessive"
137920|"Infancy, Neonatal"|""|"Not applicable"
1198|"Antenatal, Neonatal"|""|"Not applicable"
137926|"Infancy, Neonatal"|""|""
1203|"Antenatal, Childhood, Infancy, Neonatal"|""|"Unknown"
137932|"Neonatal"|""|""
137935|"Infancy"|""|"Not applicable"
1449|"Antenatal, Neonatal"|""|""
141242|"Antenatal, Neonatal"|""|""
1453|"Neonatal"|""|"Autosomal dominant"
1440|"Childhood"|""|"Not applicable, Unknown"
141234|"Antenatal, Neonatal"|""|""
1443|"Antenatal"|""|""
141261|"Antenatal, Neonatal"|""|""
141258|"Antenatal, Neonatal"|""|""
1458|"Infancy, Neonatal"|""|"Autosomal recessive"
141253|"Infancy, Neonatal"|""|""
1454|"Neonatal"|""|"Autosomal recessive"
190|"Childhood"|""|"Not applicable"
141199|"Childhood, Infancy"|""|""
1429|"Childhood, Infancy"|""|"Autosomal dominant"
141194|"Childhood, Infancy"|""|""
1426|"Antenatal, Neonatal"|""|"Autosomal recessive"
141184|"Infancy, Neonatal"|""|"Not applicable"
1427|"Neonatal"|""|"Autosomal recessive"
1435|"Infancy, Neonatal"|""|"X-linked recessive"
1436|"Neonatal"|""|"X-linked recessive"
141214|"Neonatal"|""|""
141209|"Infancy, Neonatal"|""|"Not applicable"
1433|"Neonatal"|""|"Unknown"
1484|"Neonatal"|""|"Autosomal recessive, X-linked recessive"
141333|"Antenatal, Neonatal"|""|"Unknown"
1490|"Neonatal"|""|"Autosomal recessive"
1487|"Neonatal"|""|"Autosomal dominant"
155867|"Antenatal, Neonatal"|""|""
1486|"Antenatal, Neonatal"|""|"Autosomal recessive"
141276|"Antenatal, Neonatal"|""|"Autosomal dominant"
141265|"Antenatal, Neonatal"|""|""
1466|"Antenatal, Neonatal"|""|"Autosomal recessive"
141269|"Antenatal, Neonatal"|""|""
141327|"Neonatal"|""|""
141330|"Neonatal"|""|""
1471|"Antenatal, Neonatal"|""|"Autosomal dominant"
141288|""|""|"Not applicable"
141291|"Infancy, Neonatal"|""|"Multigenic/multifactorial"
141091|"Antenatal, Neonatal"|""|"Not applicable"
141083|"Adult, Infancy, Neonatal"|""|"Not applicable"
1410|"Childhood"|""|"Autosomal recessive"
141099|"Antenatal, Infancy, Neonatal"|""|"Not applicable"
141096|"Antenatal, Neonatal"|""|"Not applicable"
1412|"Neonatal"|""|"Autosomal dominant"
1416|"Adult"|""|"Autosomal dominant, Not applicable"
141112|""|""|"Not applicable"
1394|"Antenatal, Neonatal"|""|"Autosomal recessive"
1397|"Neonatal"|""|"X-linked recessive"
1398|"Childhood"|""|""
1399|"Infancy"|""|"Autosomal recessive"
141077|"Antenatal, Neonatal"|""|"Not applicable"
1401|"Neonatal"|""|""
141074|"Neonatal"|""|""
174|"Childhood, Infancy"|""|"Autosomal dominant"
141163|"Infancy, Neonatal"|""|"Not applicable"
141168|"Neonatal"|""|""
141171|"Neonatal"|""|""
1425|"Antenatal, Neonatal"|""|"Autosomal recessive"
141174|"Neonatal"|""|""
141179|"Infancy, Neonatal"|""|"Not applicable"
141118|""|""|"Unknown"
141121|"Neonatal"|""|""
141127|"Infancy, Neonatal"|""|"Not applicable"
141132|"Antenatal, Neonatal"|""|"Not applicable"
141145|""|""|"Not applicable"
141148|"Neonatal"|""|""
156728|"Antenatal, Neonatal"|""|"Autosomal recessive"
1375|"Neonatal"|""|"Autosomal recessive"
163|"All ages"|""|"Autosomal dominant"
1373|"Childhood"|""|""
1368|"Neonatal"|""|"Autosomal recessive"
1366|"Neonatal"|""|"Autosomal recessive"
1361|"Infancy"|""|"Autosomal recessive"
1393|"Antenatal, Neonatal"|""|"Autosomal dominant, Autosomal recessive, Not applicable"
157826|"Infancy, Neonatal"|""|""
1390|"Childhood"|""|""
157820|"Adult, Childhood"|""|"Autosomal recessive"
1389|"Antenatal, Neonatal"|""|"Autosomal recessive"
157798|"Adult, Elderly"|""|"Autosomal dominant, Multigenic/multifactorial, Unknown"
1388|"Neonatal"|""|"Autosomal recessive"
157801|"Infancy, Neonatal"|""|"Autosomal recessive"
1387|"Neonatal"|""|"Autosomal recessive"
157791|"Adolescent, Adult, Childhood, Elderly"|""|"Not applicable"
157794|"Childhood"|""|"Autosomal dominant"
157769|"Antenatal"|""|""
157716|"Childhood"|""|""
1381|"Antenatal, Neonatal"|""|""
157719|"Adolescent, Adult"|""|""
1380|"Neonatal"|""|"Autosomal recessive"
157713|"Infancy, Neonatal"|""|""
156731|"Antenatal, Neonatal"|""|""
1377|"Neonatal"|""|"Autosomal dominant, Autosomal recessive"
157215|"Childhood, Infancy"|""|"Autosomal dominant, Autosomal recessive"
1325|"Infancy"|""|"Autosomal dominant"
1326|"Neonatal"|""|"Autosomal recessive"
1327|"Neonatal"|""|"Autosomal recessive"
1328|"Adolescent, Adult, Childhood"|""|"Autosomal dominant"
1323|"Neonatal"|""|"Autosomal dominant, Autosomal recessive"
1314|"Neonatal"|""|"Not applicable"
1318|"Neonatal"|""|"Autosomal recessive"
1319|"Neonatal"|""|"Autosomal dominant"
1305|"Neonatal"|""|"Autosomal dominant"
1307|"Neonatal"|""|"Autosomal recessive"
1313|"Infancy, Neonatal"|""|"Autosomal recessive"
1355|"Infancy, Neonatal"|""|""
1352|"Neonatal"|""|""
1345|"Adolescent, Adult"|""|"Autosomal recessive"
1338|"Neonatal"|""|""
1340|"Antenatal, Neonatal"|""|"Autosomal dominant"
2856|"Adolescent, Adult, Childhood, Infancy"|""|"Autosomal recessive"
1336|"Adolescent, Childhood, Infancy"|""|"Autosomal dominant"
1335|"Antenatal, Neonatal"|""|"Not applicable"
1682|"Childhood"|""|"Unknown"
1757|"Neonatal"|""|"Not applicable"
1756|"Antenatal, Neonatal"|""|"Not applicable"
1765|"No data available"|""|"Autosomal dominant"
1766|"Neonatal"|""|"Autosomal recessive"
1777|"Infancy, Neonatal"|""|"Autosomal recessive"
1780|"Antenatal, Neonatal"|""|"Autosomal recessive"
1772|"All ages"|""|"Not applicable, Unknown"
1784|"Neonatal"|""|"Autosomal recessive"
1782|"Infancy, Neonatal"|""|"Autosomal recessive, X-linked recessive"
1790|"Antenatal, Neonatal"|""|"Unknown"
1786|"Antenatal, Neonatal"|""|"Autosomal dominant, X-linked dominant"
1788|"Antenatal, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
859|"Infancy, Neonatal"|""|"Autosomal recessive"
139441|"Childhood, Infancy"|""|"Autosomal dominant"
3196|"Childhood"|""|"Autosomal recessive"
139444|"Infancy, Neonatal"|""|"Unknown"
139447|"Childhood, Infancy"|""|"Autosomal recessive"
1573|"Infancy, Neonatal"|""|"Autosomal recessive"
726|"Adolescent, Adult, Childhood, Infancy"|""|"Autosomal recessive"
139450|"No data available"|""|"Autosomal dominant"
139455|"All ages"|""|"Autosomal recessive"
1574|"Adult"|""|"Autosomal recessive"
139466|"Antenatal"|""|"Autosomal recessive"
1596|"Antenatal, Neonatal"|""|""
139471|"Antenatal"|""|""
139474|"Infancy, Neonatal"|""|"Autosomal dominant"
1617|"Antenatal, Neonatal"|""|"Not applicable"
1606|"Antenatal, Neonatal"|""|"Multigenic/multifactorial, Not applicable"
139480|"Childhood"|""|"Autosomal recessive"
1647|"Neonatal"|""|"Not applicable"
139485|"Childhood"|""|"Autosomal recessive"
139491|"All ages"|""|"Autosomal dominant"
1653|"All ages"|""|"Autosomal dominant"
139507|"Adult, Elderly"|""|"Not applicable"
139515|"Adult, Childhood, Infancy"|""|"Autosomal recessive"
139512|"Adult"|""|"Autosomal dominant"
1657|"Infancy"|""|"Autosomal recessive"
139525|"Adolescent, Adult"|""|"Autosomal dominant"
1658|"Childhood"|""|"Autosomal dominant"
139518|"Adolescent, Adult, Childhood"|""|"Autosomal dominant"
1659|"Neonatal"|""|"Autosomal recessive"
139547|"Adolescent, Adult, Childhood, Infancy"|""|"Autosomal recessive"
139536|"Adolescent, Adult, Childhood"|""|"Autosomal dominant"
1660|"Childhood"|""|"Autosomal dominant"
139557|"Adolescent, Adult, Childhood, Infancy"|""|"X-linked recessive"
1661|"Neonatal"|""|"X-linked recessive"
1662|"Antenatal, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
139552|"Childhood"|""|"Autosomal recessive"
139573|"Childhood, Infancy"|""|"Autosomal recessive"
1665|"Antenatal"|""|"Not applicable"
139564|"Adult"|""|"Autosomal dominant"
139583|"Childhood"|""|"X-linked recessive"
1667|"Infancy, Neonatal"|""|"Autosomal recessive"
139578|"Childhood, Infancy"|""|"Autosomal recessive"
139589|"Adolescent, Adult, Childhood"|""|"Autosomal dominant"
1671|"Adolescent, Adult, Childhood, Infancy"|""|""
140917|"Infancy, Neonatal"|""|"Autosomal dominant"
1548|"Infancy, Neonatal"|""|""
1547|"Neonatal"|""|"Autosomal dominant"
140922|"Adolescent, Adult, Childhood"|""|"Autosomal recessive"
1545|"Neonatal"|""|"Autosomal recessive"
1540|"Neonatal"|""|"Autosomal dominant"
140908|"Neonatal"|""|"Autosomal dominant"
140874|"Infancy, Neonatal"|""|"Autosomal recessive, X-linked recessive"
140896|"All ages"|""|"Not applicable"
1532|"Neonatal"|""|"Not applicable"
140952|"Infancy, Neonatal"|""|"X-linked dominant"
140957|""|""|"Autosomal dominant"
140944|"Infancy, Neonatal"|""|"Not applicable"
140949|""|""|"Not applicable"
1555|"Neonatal"|""|"Autosomal dominant"
140936|"Adolescent, Adult, Childhood"|""|"Autosomal recessive"
140941|"Infancy, Neonatal"|""|"Autosomal recessive"
1553|"Neonatal"|""|"Not applicable"
140927|"Infancy, Neonatal"|""|"Autosomal dominant"
140933|"Childhood"|""|""
140989|"All ages"|""|"Not applicable"
1566|"Antenatal, Neonatal"|""|"Autosomal recessive"
140976|""|""|"Autosomal recessive"
1563|"Childhood"|""|"Autosomal recessive, X-linked recessive"
140969|"Infancy"|""|"Autosomal recessive"
140966|"Childhood, Infancy"|""|"Autosomal recessive"
1562|"No data available"|""|"Autosomal dominant"
140963|"Neonatal"|""|"Autosomal dominant, Autosomal recessive"
382|"Childhood, Infancy"|""|"Autosomal recessive"
742|"Adolescent, Adult, Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
1979|"Neonatal"|""|"Unknown"
1571|"Infancy, Neonatal"|""|"Autosomal recessive"
141007|""|""|"Autosomal recessive"
1551|"Infancy"|""|""
1568|"Antenatal, Neonatal"|""|"X-linked recessive"
141000|"Neonatal"|""|"Not applicable"
1497|"Antenatal, Neonatal"|""|"X-linked recessive"
140436|""|""|"Autosomal recessive"
1493|"Antenatal, Neonatal"|""|"Autosomal recessive"
140286|"Adolescent, Adult, Childhood, Elderly"|""|"Not applicable"
1495|"Neonatal"|""|"Autosomal recessive"
1509|"Infancy, Neonatal"|""|"Autosomal dominant"
1512|"Antenatal, Neonatal"|""|"Autosomal recessive"
1506|"Neonatal"|""|""
1508|"Neonatal"|""|"Unknown"
1507|"Infancy, Neonatal"|""|"Autosomal recessive"
1517|"Neonatal"|""|"Autosomal dominant, Not applicable"
1519|"Neonatal"|""|"Autosomal dominant"
1520|"Neonatal"|""|"X-linked dominant"
1513|"Childhood"|""|"Autosomal dominant, Autosomal recessive, Not applicable"
1514|"Neonatal"|""|"Autosomal recessive, X-linked recessive"
140481|"Adult"|""|"Autosomal dominant"
1515|"Antenatal, Neonatal"|""|"Autosomal recessive"
1516|"Neonatal"|""|"Autosomal recessive"
1527|"Neonatal"|""|"Autosomal dominant"
1528|"Neonatal"|""|""
1529|"Neonatal"|""|"Autosomal dominant"
1521|"Neonatal"|""|"Unknown"
1522|"Childhood"|""|"Autosomal dominant, Autosomal recessive"
1525|"Childhood"|""|"Autosomal recessive"
1969|"No data available"|""|"Unknown"
1968|"Neonatal"|""|"Unknown"
1970|"Neonatal"|""|"Autosomal recessive"
1973|"Neonatal"|""|"Autosomal recessive"
1972|"Neonatal"|""|"Autosomal recessive"
1974|"Neonatal"|""|"Autosomal recessive"
1962|"Neonatal"|""|"Unknown"
1964|"Neonatal"|""|"Autosomal dominant"
1822|"Adolescent, Childhood"|""|"Autosomal dominant"
1824|"Neonatal"|""|"Autosomal recessive"
1952|"Antenatal, Neonatal"|""|"Autosomal recessive"
1954|"Neonatal"|""|"Autosomal recessive"
1955|"Adolescent, Adult, Neonatal"|""|"Autosomal dominant"
1926|"Antenatal, Neonatal"|""|"Not applicable"
2209|"Antenatal, Neonatal"|""|"Autosomal recessive"
1927|"Infancy, Neonatal"|""|""
1937|"Antenatal"|""|"Autosomal dominant"
1920|"Antenatal, Neonatal"|""|"Not applicable"
1919|"Antenatal, Neonatal"|""|"Not applicable"
1917|"Antenatal, Neonatal"|""|"Not applicable"
1923|"Antenatal, Neonatal"|""|"Not applicable"
1912|"Antenatal, Neonatal"|""|"Not applicable"
1918|"Antenatal, Neonatal"|""|"Not applicable"
1911|"Antenatal, Neonatal"|""|"Not applicable"
1910|"Antenatal, Neonatal"|""|"Not applicable"
1916|"All ages"|""|"Not applicable"
294|"Antenatal, Neonatal"|""|"Not applicable"
1914|"Antenatal, Neonatal"|""|"Not applicable"
1913|"Antenatal, Neonatal"|""|"Not applicable"
1896|"Antenatal, Neonatal"|""|"Autosomal dominant"
1897|"Neonatal"|""|"Autosomal recessive"
1908|"Antenatal, Neonatal"|""|"Not applicable"
1909|"Antenatal, Neonatal"|""|"Not applicable"
1906|"Antenatal, Childhood, Infancy, Neonatal"|""|"Not applicable"
1895|"Neonatal"|""|"Unknown"
1891|"Infancy, Neonatal"|""|""
1892|"Antenatal"|""|""
1816|"Neonatal"|""|"Autosomal recessive"
1807|"Antenatal, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
1883|"Childhood, Infancy"|""|"Autosomal recessive"
1882|"Childhood"|""|"Autosomal recessive"
1875|"Neonatal"|""|"Autosomal recessive"
1873|"Childhood"|""|"Autosomal recessive"
1879|"All ages"|""|"Autosomal dominant"
1867|"Neonatal"|""|"X-linked recessive"
1872|"Adolescent, Adult, Childhood"|""|"Autosomal dominant, Autosomal recessive, X-linked recessive"
1871|"Adult"|""|"Autosomal dominant, Autosomal recessive"
1860|"Antenatal, Neonatal"|""|"Autosomal dominant, Not applicable"
1861|"Antenatal"|""|""
1865|"Antenatal, Neonatal"|""|"Autosomal recessive"
1858|"Neonatal"|""|""
254|"Infancy"|""|"Autosomal dominant, Autosomal recessive, X-linked recessive"
1852|"Childhood"|""|"X-linked recessive"
1842|"Antenatal, Neonatal"|""|"Autosomal recessive"
1839|"Childhood"|""|"Autosomal dominant"
1837|"Adolescent"|""|""
1836|"Neonatal"|""|"Autosomal dominant"
1834|"Antenatal"|""|""
1830|"Infancy, Neonatal"|""|"Autosomal recessive"
1825|"Neonatal"|""|""
251|"Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
1811|"Childhood"|""|"Autosomal recessive"
1812|"Antenatal, Neonatal"|""|"X-linked recessive"
1808|"Infancy, Neonatal"|""|"Autosomal dominant"
1809|"Infancy, Neonatal"|""|"Autosomal recessive"
1806|"Neonatal"|""|"Autosomal recessive"
1802|""|""|"Autosomal recessive"
1803|"Infancy"|""|""
1801|"Antenatal, Neonatal"|""|""
1798|"Neonatal"|""|"Autosomal dominant"
1799|"Childhood"|""|"Autosomal dominant"
1794|"Neonatal"|""|""
2130|"Neonatal"|""|"Not applicable"
2136|"Childhood"|""|"Autosomal recessive"
2138|"Adolescent, Antenatal, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
2139|"Childhood"|""|"Autosomal recessive"
2141|"Antenatal"|""|"Autosomal recessive"
2143|"Antenatal, Neonatal"|""|"Autosomal recessive"
2145|"Antenatal"|""|""
2149|"All ages"|""|"Autosomal dominant, Autosomal recessive, X-linked dominant"
2148|"Adolescent, Childhood, Infancy, Neonatal"|""|"X-linked recessive"
158048|"All ages"|""|""
158057|"All ages"|""|""
2108|"Infancy, Neonatal"|""|"Not applicable, Unknown"
158061|"Adolescent, Adult, Childhood"|""|""
2107|"Neonatal"|""|"Autosomal recessive"
2110|"Neonatal"|""|""
2109|"Antenatal, Neonatal"|""|""
2111|"Infancy"|""|"Unknown"
2115|"Infancy, Neonatal"|""|""
2114|"Childhood"|""|"Autosomal dominant"
2994|"Infancy, Neonatal"|""|""
2117|"Antenatal"|""|"Autosomal dominant, Autosomal recessive"
2119|"Neonatal"|""|"Unknown"
2123|"Neonatal"|""|"Not applicable"
157997|""|""|"Not applicable"
2090|"Neonatal"|""|""
157991|""|""|"Not applicable"
2091|"Antenatal, Neonatal"|""|"Autosomal dominant"
158011|""|""|"Not applicable"
158008|""|""|"Not applicable"
376|"Antenatal, Neonatal"|""|"Autosomal dominant"
158003|""|""|"Not applicable"
2092|"Neonatal"|""|"X-linked dominant"
158000|""|""|"Not applicable"
2098|"Neonatal"|""|"Autosomal recessive"
158025|"Childhood"|""|"Autosomal dominant"
158022|""|""|"Not applicable"
380|"Antenatal"|""|"Autosomal dominant"
2095|"Neonatal"|""|"Autosomal recessive"
158019|""|""|"Not applicable"
158014|"Adolescent, Adult"|""|""
2097|"Neonatal"|""|"Unknown"
2101|"Antenatal, Neonatal"|""|""
2104|"Infancy, Neonatal"|""|"Unknown"
158032|"Adolescent, Childhood, Infancy"|""|""
158029|"Adolescent, Adult"|""|"Autosomal dominant"
2069|"Adolescent, Adult"|""|""
157846|"Adult"|""|"Autosomal dominant"
157832|"Neonatal"|""|""
2067|"Neonatal"|""|"Autosomal recessive"
157835|"Adolescent, Adult, Childhood, Elderly"|""|"Not applicable"
2065|"Childhood, Infancy, Neonatal"|""|"Autosomal recessive, X-linked recessive"
2075|"Antenatal, Neonatal"|""|""
157941|"Adult"|""|"Autosomal dominant"
2074|"Adult"|""|"Autosomal recessive"
157850|"All ages"|""|"Autosomal recessive"
2072|"Childhood"|""|"Autosomal recessive"
157954|"Adult"|""|"Autosomal recessive"
157962|"Infancy, Neonatal"|""|"Autosomal recessive"
157946|"Childhood"|""|"Autosomal recessive"
2078|"Neonatal"|""|"Autosomal recessive"
2077|"Neonatal"|""|"Autosomal recessive"
157973|"Infancy, Neonatal"|""|"Autosomal dominant"
2085|"No data available"|""|"Unknown"
2084|"All ages"|""|"Autosomal dominant"
157965|"Neonatal"|""|"Autosomal recessive"
2083|"Antenatal, Neonatal"|""|""
1791|"Neonatal"|""|""
1826|"Neonatal"|""|"Autosomal dominant, X-linked dominant"
2047|"Childhood"|""|"Autosomal dominant"
2048|"All ages"|""|"Not applicable"
2050|"Neonatal"|""|"Autosomal dominant, Autosomal recessive, Not applicable"
2063|"Antenatal, Neonatal"|""|""
2064|"Childhood"|""|"Autosomal dominant"
250|"Antenatal, Neonatal"|""|"Not applicable"
2057|"Neonatal"|""|"Autosomal recessive"
2059|"Antenatal, Neonatal"|""|"Autosomal recessive"
2026|"Infancy, Neonatal"|""|"Autosomal dominant"
2025|"Neonatal"|""|"Autosomal recessive"
2028|"Childhood"|""|"Autosomal recessive"
2027|"Adult"|""|"Autosomal dominant"
2021|"Neonatal"|""|"Autosomal dominant, Autosomal recessive"
2019|"Neonatal"|""|"Not applicable"
2024|"All ages"|""|"Autosomal dominant"
2022|"Neonatal"|""|"Unknown"
2824|"Infancy"|""|"X-linked recessive"
2045|"Childhood, Infancy"|""|""
2044|"Infancy, Neonatal"|""|"Autosomal dominant"
2031|"Infancy, Neonatal"|""|""
2036|"Neonatal"|""|"Autosomal dominant"
2006|"Neonatal"|""|"Not applicable"
2007|"Neonatal"|""|"Autosomal recessive"
2003|"Infancy, Neonatal"|""|"Unknown"
158687|"Neonatal"|""|"Autosomal recessive"
158684|"Neonatal"|""|"Autosomal recessive"
2004|"Antenatal, Neonatal"|""|"Autosomal dominant, Not applicable"
2001|"Neonatal"|""|"Autosomal recessive"
158681|"Infancy, Neonatal"|""|"Autosomal dominant"
158676|"Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
158673|"Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
158668|"Infancy, Neonatal"|""|"Autosomal recessive"
2016|"Antenatal, Neonatal"|""|"Autosomal dominant"
2017|"Antenatal, Neonatal"|""|"Not applicable"
2013|"Infancy, Neonatal"|""|""
2010|"Neonatal"|""|"Autosomal recessive"
158775|"Adult, Elderly"|""|""
2008|"Antenatal, Neonatal"|""|"Autosomal recessive"
1987|"Antenatal, Neonatal"|""|""
1986|"Antenatal, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
1980|"Adult"|""|"Autosomal dominant, Not applicable"
1997|"Neonatal"|""|"Autosomal dominant"
1995|"Antenatal"|""|"Autosomal recessive"
1993|"Neonatal"|""|"Unknown"
1988|"Antenatal, Neonatal"|""|"Not applicable"
2348|"Adolescent, Adult, Childhood, Elderly"|""|"Autosomal dominant"
247775|"Adolescent, Antenatal"|""|"Autosomal dominant, Not applicable"
2351|"Antenatal, Infancy, Neonatal"|""|""
247768|"Infancy, Neonatal"|""|"Autosomal dominant, Not applicable"
2353|"Infancy, Neonatal"|""|"Autosomal dominant"
247790|"No data available"|""|"Autosomal dominant"
247798|""|""|"Autosomal dominant, Autosomal recessive"
247794|"Childhood"|""|"Autosomal dominant"
247815|"Adolescent, Childhood"|""|"Autosomal recessive"
247806|""|""|"Autosomal dominant, Autosomal recessive"
2363|"Antenatal, Neonatal"|""|"Autosomal dominant"
247691|""|""|"Autosomal dominant"
2340|"Childhood"|""|"Autosomal dominant, Autosomal recessive, X-linked recessive"
247685|"Adolescent, Adult, Childhood, Infancy"|""|"Autosomal dominant, Autosomal recessive"
2342|"Childhood, Infancy"|""|"Autosomal recessive"
247709|"Childhood"|""|"Autosomal dominant"
247698|"Childhood"|""|"Autosomal dominant"
247724|""|""|"Not applicable"
247718|""|""|"Not applicable"
247765|""|""|"X-linked dominant, X-linked recessive"
485|"Infancy, Neonatal"|""|"Autosomal dominant"
247762|"Childhood"|""|"Not applicable"
2347|"Neonatal"|""|"Autosomal recessive"
247585|"Adult"|""|"Autosomal recessive"
